Title,Category,Description,Tags,Website URL,Showcase Image,Logo URL
Passionfruit,E-commerce,"Discover the latest electronic products and personal devices at Passionfruit. Premium quality, innovative technology, exceptional service.","[""responsive"", ""business"", ""professional"", ""clean""]",https://deodaniel.github.io/Passionfruit/,https://api.microlink.io/?url=https://deodaniel.github.io/Passionfruit/&screenshot=true&meta=false&embed=screenshot.url,https://deodaniel.github.io/Passionfruit/passion-fruit-1.svg
Coffee To Go,Landing Page,"Official platform for Coffee To Go. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://mkxgamer295-web.github.io/try/,https://api.microlink.io/?url=https://mkxgamer295-web.github.io/try/&screenshot=true&meta=false&embed=screenshot.url,
Thesixseventh,E-commerce,"Official platform for Thesixseventh. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://nuggynih.github.io/PPW-Assignment1.github.io/,https://api.microlink.io/?url=https://nuggynih.github.io/PPW-Assignment1.github.io/&screenshot=true&meta=false&embed=screenshot.url,
Parfumeyuu,E-commerce,"Official platform for Parfumeyuu - Jual Parfum Online. Discover the best features, services, and updates directly from the source.","[""responsive"", ""business"", ""minimal""]",https://fabiousama24.github.io/hw1_PPW/,https://api.microlink.io/?url=https://fabiousama24.github.io/hw1_PPW/&screenshot=true&meta=false&embed=screenshot.url,
Richfood Shop,E-commerce,"Official platform for Richfood Shop. Discover the best features, services, and updates directly from the source.","[""responsive"", ""business"", ""minimal""]",https://aerlangga333.github.io/Aerlangs333.github.io/,https://api.microlink.io/?url=https://aerlangga333.github.io/Aerlangs333.github.io/&screenshot=true&meta=false&embed=screenshot.url,
IMPERATRIX,SaaS,"Official platform for IMPERATRIX. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://opalescentmoon.github.io/imperatrix/,https://api.microlink.io/?url=https://opalescentmoon.github.io/imperatrix/&screenshot=true&meta=false&embed=screenshot.url,https://opalescentmoon.github.io/imperatrix/cerydra_icon.png
Anshelna Dealer,Corporate,"Official platform for Anshelna Dealer. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://laikaa86.github.io/ppwe/,https://api.microlink.io/?url=https://laikaa86.github.io/ppwe/&screenshot=true&meta=false&embed=screenshot.url,
Nakata,E-commerce,"Official platform for Nakata. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://fathyakr.github.io/Nakata/,https://api.microlink.io/?url=https://fathyakr.github.io/Nakata/&screenshot=true&meta=false&embed=screenshot.url,https://fathyakr.github.io/Nakata/assets/Nakata_Desc-removebg-preview.png
Salshoe,E-commerce,"Official platform for Salshoe - Sepatu Branded. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://sabil28.github.io/WEB-SALSHOE-TASKPPW/,https://api.microlink.io/?url=https://sabil28.github.io/WEB-SALSHOE-TASKPPW/&screenshot=true&meta=false&embed=screenshot.url,
No Void Minds,E-commerce,"Official platform for No Void Minds - Crafted to Perfection. Discover the best features, services, and updates directly from the source.","[""responsive"", ""business"", ""minimal""]",https://na-id.github.io/hw1-ppw-store/,https://api.microlink.io/?url=https://na-id.github.io/hw1-ppw-store/&screenshot=true&meta=false&embed=screenshot.url,https://na-id.github.io/hw1-ppw-store/assets/logo/NoVoidMindsLogo-white.svg
Glams,Corporate,"Official platform for Glams. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://bukanadine.github.io/Glams/,https://api.microlink.io/?url=https://bukanadine.github.io/Glams/&screenshot=true&meta=false&embed=screenshot.url,https://bukanadine.github.io/Glams/assets/glamzz.png
Callys Bakery,Corporate,"Official platform for Callys Bakery. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://rcapo-711.github.io/HW1-PPW/,https://api.microlink.io/?url=https://rcapo-711.github.io/HW1-PPW/&screenshot=true&meta=false&embed=screenshot.url,
SweetBox,Corporate,"Official platform for SweetBox - Pesan Dessert Khas Daerah. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://muhdaffaramdhani.github.io/SweetBox/,https://api.microlink.io/?url=https://muhdaffaramdhani.github.io/SweetBox/&screenshot=true&meta=false&embed=screenshot.url,"data:image/svg+xml,<svg xmlns='http://www.w3.org/2000/svg' width='32' height='32' viewBox='0 0 32 32' fill='none'><rect x='4' y='8' width='24' height='16' rx='4' fill='%23FFD1DC'/><path d='M4 8C4 5.79086 5.79086 4 8 4H24C26.2091 4 28 5.79086 28 8V10H4V8Z' fill='%23F8BBD0'/><rect x='14' y='4' width='4' height='24' fill='%23A7D9E3'/><rect x='4' y='14' width='24' height='4' fill='%23A7D9E3'/><path d='M16 12L19 9L16 6L13 9L16 12Z' fill='%23A7D9E3'/></svg>"
Lowfee Cofee,Landing Page,"Official platform for Lowfee Cofee. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://aandrassignments.github.io/Lowfee-Coffee-Project/,https://api.microlink.io/?url=https://aandrassignments.github.io/Lowfee-Coffee-Project/&screenshot=true&meta=false&embed=screenshot.url,
Benna,Portfolio,"Official platform for Benna. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://muttia06.github.io/hw1_ppw,https://api.microlink.io/?url=https://muttia06.github.io/hw1_ppw&screenshot=true&meta=false&embed=screenshot.url,
Redo E-Commerce,E-Commerce,"Official platform for Redo E-Commerce. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://hamim-l.github.io/REDO/,https://api.microlink.io/?url=https://hamim-l.github.io/REDO/&screenshot=true&meta=false&embed=screenshot.url,
Noirestore,E-commerce,"Official platform for Noirestore. Discover the best features, services, and updates directly from the source.","[""responsive"", ""business"", ""minimal""]",https://noireveil.github.io/noirestore/,https://api.microlink.io/?url=https://noireveil.github.io/noirestore/&screenshot=true&meta=false&embed=screenshot.url,https://noireveil.github.io/noirestore/images/noire-icon.png
AquaRim,E-commerce,"Official platform for AquaRim. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://krrrmrl.github.io/AquaRim/,https://api.microlink.io/?url=https://krrrmrl.github.io/AquaRim/&screenshot=true&meta=false&embed=screenshot.url,
VenPlamo,E-commerce,VenPlamo - Toko model plastik premium untuk para kolektor. Jual Gundam dan berbagai model plastik berkualitas tinggi.,"[""responsive"", ""business"", ""minimal""]",https://makairon92.github.io/Venpuramo/,https://api.microlink.io/?url=https://makairon92.github.io/Venpuramo/&screenshot=true&meta=false&embed=screenshot.url,https://makairon92.github.io/Venpuramo/img/logo.svg
SneakVerse,Corporate,"Official platform for SneakVerse. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://rizkyraffandyhalim.github.io/HW1-PPW/,https://api.microlink.io/?url=https://rizkyraffandyhalim.github.io/HW1-PPW/&screenshot=true&meta=false&embed=screenshot.url,
Giovanie & Charlie,Corporate,"Official platform for Portofolio Faris. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://ifmdk636.github.io/GandC-Website/,https://api.microlink.io/?url=https://ifmdk636.github.io/GandC-Website/&screenshot=true&meta=false&embed=screenshot.url,
SpectrumPro,E-commerce,"Official platform for SpectrumPro | Premium Eyewear Marketplace. Discover the best features, services, and updates directly from the source.","[""responsive"", ""business"", ""minimal""]",https://bayuozora.github.io/hw1_website/,https://api.microlink.io/?url=https://bayuozora.github.io/hw1_website/&screenshot=true&meta=false&embed=screenshot.url,
SketchyCute,SaaS,"Official platform for SketchyCute - Jasa Gambar Imut & Karakter. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://nazzsyir.github.io/sketchyCute_/,https://api.microlink.io/?url=https://nazzsyir.github.io/sketchyCute_/&screenshot=true&meta=false&embed=screenshot.url,
Bloom,SaaS,"Official platform for Bloom. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://devianatalsya.github.io/PPW-HW1/,https://api.microlink.io/?url=https://devianatalsya.github.io/PPW-HW1/&screenshot=true&meta=false&embed=screenshot.url,
PersonaMart,E-commerce,"Official platform for PersonaMart. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://yoyomikomi.github.io/personamart/,https://api.microlink.io/?url=https://yoyomikomi.github.io/personamart/&screenshot=true&meta=false&embed=screenshot.url,
Designify,SaaS,"Official platform for Designify - Graphic Design Services. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://farismlna.github.io/Designify/,https://api.microlink.io/?url=https://farismlna.github.io/Designify/&screenshot=true&meta=false&embed=screenshot.url,
Sweet Spot,SaaS,"Official platform for Sweet Spot - Beranda. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://yieshenn.github.io/idoyyy/,https://api.microlink.io/?url=https://yieshenn.github.io/idoyyy/&screenshot=true&meta=false&embed=screenshot.url,
StyleVibe,Portfolio,"Official platform for StyleVibe. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://ikhsanpuj16.github.io/StyleVibe/index.html,https://api.microlink.io/?url=https://ikhsanpuj16.github.io/StyleVibe/index.html&screenshot=true&meta=false&embed=screenshot.url,
Richiise Bakar,SaaS,"Official platform for Richiise Bakar. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://patrickcoco.github.io/Richbakar.github.io/,https://api.microlink.io/?url=https://patrickcoco.github.io/Richbakar.github.io/&screenshot=true&meta=false&embed=screenshot.url,https://patrickcoco.github.io/Richbakar.github.io/image/logoout.png
Bluupoint,Corporate,"Official platform for Bluupoint - Top Up Game Terpercaya. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://adrilorenzo99.github.io/,https://api.microlink.io/?url=https://adrilorenzo99.github.io/&screenshot=true&meta=false&embed=screenshot.url,
DreamPlay Store,E-commerce,"Official platform for Video Games - DreamPlay Store. Discover the best features, services, and updates directly from the source.","[""responsive"", ""business"", ""minimal""]",https://michaelrenattozs.github.io/dreamplay/,https://api.microlink.io/?url=https://michaelrenattozs.github.io/dreamplay/&screenshot=true&meta=false&embed=screenshot.url,
ZAXCKS Streetwear,E-commerce,"Official platform for ZAXCKS Streetwear. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://canlikez.github.io/website-ppw/index.html,https://api.microlink.io/?url=https://canlikez.github.io/website-ppw/index.html&screenshot=true&meta=false&embed=screenshot.url,https://canlikez.github.io/website-ppw/images/head-icon.png
TiketFlix,Landing Page,"Official platform for TiketFlix. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://adeazhar.github.io/AdeAzar/index.html,https://api.microlink.io/?url=https://adeazhar.github.io/AdeAzar/index.html&screenshot=true&meta=false&embed=screenshot.url,https://adeazhar.github.io/AdeAzar/icon.png
Milo & Mixy,E-commerce,"Official platform for Milo & Mixy - E-commerce. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://nurtaufik04.github.io/ppw1-ecommerce/,https://api.microlink.io/?url=https://nurtaufik04.github.io/ppw1-ecommerce/&screenshot=true&meta=false&embed=screenshot.url,
DoodleIn,SaaS,"Official platform for DoodleIn. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://nand-o.github.io/DoodleIn/index.html,https://api.microlink.io/?url=https://nand-o.github.io/DoodleIn/index.html&screenshot=true&meta=false&embed=screenshot.url,https://nand-o.github.io/DoodleIn/assets/Icon.svg
Botbot,SaaS,"Official platform for botbot. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://fardansa.github.io/botbot/,https://api.microlink.io/?url=https://fardansa.github.io/botbot/&screenshot=true&meta=false&embed=screenshot.url,
ChargeHub,Corporate,"Official platform for ChargeHub | Solusi Charger HP Terpercaya. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://ramaa-aditya202.github.io/chargehub/,https://api.microlink.io/?url=https://ramaa-aditya202.github.io/chargehub/&screenshot=true&meta=false&embed=screenshot.url,https://ramaa-aditya202.github.io/chargehub/src/img/nyan.ico
RainDrop,SaaS,"Official platform for RainDrop. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://rainnau.github.io/,https://api.microlink.io/?url=https://rainnau.github.io/&screenshot=true&meta=false&embed=screenshot.url,
Fairytale Campground,E-commerce,"Official platform for Fairytale Campground. Discover the best features, services, and updates directly from the source.","[""responsive"", ""business"", ""minimal""]",https://bebopcarti.github.io/index.html,https://api.microlink.io/?url=https://bebopcarti.github.io/index.html&screenshot=true&meta=false&embed=screenshot.url,
Dajistore,E-commerce,"Official platform for Dajistore. Discover the best features, services, and updates directly from the source.","[""responsive"", ""business"", ""minimal""]",https://dajitech.github.io/DajiShop/Dajipage.html,https://api.microlink.io/?url=https://dajitech.github.io/DajiShop/Dajipage.html&screenshot=true&meta=false&embed=screenshot.url,
202space - Photography,SaaS,"Official platform for 202space - Photography. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://damaray.github.io/202spacePhoto/,https://api.microlink.io/?url=https://damaray.github.io/202spacePhoto/&screenshot=true&meta=false&embed=screenshot.url,
Bimbelink,E-commerce,"Official platform for Bimbelink. Discover the best features, services, and updates directly from the source.","[""responsive"", ""business"", ""minimal""]",https://fkriahmadar.github.io/Bimbelink/,https://api.microlink.io/?url=https://fkriahmadar.github.io/Bimbelink/&screenshot=true&meta=false&embed=screenshot.url,
Helmet Store,E-commerce,"Official platform for Helmet Store. Discover the best features, services, and updates directly from the source.","[""responsive"", ""business"", ""minimal""]",https://fatah-a.github.io/helmet-store/index.html,https://api.microlink.io/?url=https://fatah-a.github.io/helmet-store/index.html&screenshot=true&meta=false&embed=screenshot.url,
Craftcycle ,Portfolio,"Official platform for Craftcycle. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://pradippy-nxs.github.io/Craft-Cycle,https://api.microlink.io/?url=https://pradippy-nxs.github.io/Craft-Cycle&screenshot=true&meta=false&embed=screenshot.url,
Meazzy Motors,Portfolio,"Official platform for Meazzy Motors. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://meazzy20.github.io/Meazzy-Motors/,https://api.microlink.io/?url=https://meazzy20.github.io/Meazzy-Motors/&screenshot=true&meta=false&embed=screenshot.url,
ACPowered,Portfolio,"Official platform for ACPowered. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://bara-j-indonesiano.github.io/ACPowered/,https://api.microlink.io/?url=https://bara-j-indonesiano.github.io/ACPowered/&screenshot=true&meta=false&embed=screenshot.url,
Rumah Kopi Canggih,SaaS,"Official platform for Rumah Kopi Canggih. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://giwnk.github.io/rumah-kopi-canggih/,https://api.microlink.io/?url=https://giwnk.github.io/rumah-kopi-canggih/&screenshot=true&meta=false&embed=screenshot.url,
Toko Anti Hujan,Portfolio,"Official platform for Toko Anti Hujan. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://aldovian.github.io/homework1/,https://api.microlink.io/?url=https://aldovian.github.io/homework1/&screenshot=true&meta=false&embed=screenshot.url,
ShiftUp,SaaS,"Official platform for ShiftUp. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://raflyrzp.github.io/shiftup/,https://api.microlink.io/?url=https://raflyrzp.github.io/shiftup/&screenshot=true&meta=false&embed=screenshot.url,
Scent Amoura,E-commerce,"Official platform for Scent Amoura Official Website | Scent Amoura. Discover the best features, services, and updates directly from the source.","[""responsive"", ""business"", ""minimal""]",https://copreamm.github.io/Scent-Amoura-Webstore/,https://api.microlink.io/?url=https://copreamm.github.io/Scent-Amoura-Webstore/&screenshot=true&meta=false&embed=screenshot.url,https://copreamm.github.io/Scent-Amoura-Webstore/Asset/Logo-Style.png
RUZE,Portfolio,"Official platform for RUZE | RUZE Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://zennru.github.io/ruze_ecm/home.html,https://api.microlink.io/?url=https://zennru.github.io/ruze_ecm/home.html&screenshot=true&meta=false&embed=screenshot.url,https://zennru.github.io/ruze_ecm/img/logo.png
POKUS. Your Best Shoes,SaaS,"Official platform for POKUS. Your Best Shoes. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://gimshi.github.io/Pokus/,https://api.microlink.io/?url=https://gimshi.github.io/Pokus/&screenshot=true&meta=false&embed=screenshot.url,https://gimshi.github.io/Pokus/images/icon.svg
Aetheria,Portfolio,"Official platform for Aetheria. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://irkurnia.github.io/IrKurnia_hw1_PPW/,https://api.microlink.io/?url=https://irkurnia.github.io/IrKurnia_hw1_PPW/&screenshot=true&meta=false&embed=screenshot.url,
Carrera | Coffee and Eatery,E-commerce,"Official platform for Carrera | Coffee and Eatery. Discover the best features, services, and updates directly from the source.","[""responsive"", ""business"", ""minimal""]",https://naufal-a.github.io/website-Carerra-Coffe-Shop/index.html,https://api.microlink.io/?url=https://naufal-a.github.io/website-Carerra-Coffe-Shop/index.html&screenshot=true&meta=false&embed=screenshot.url,
Kopi Senja,SaaS,"Official platform for Kopi Senja. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://careal445.github.io/hw1_ppw/,https://api.microlink.io/?url=https://careal445.github.io/hw1_ppw/&screenshot=true&meta=false&embed=screenshot.url,
Brown's Bakery,Portfolio,"Official platform for Brown's Bakery. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://coretail.github.io/Homework_1_web/,https://api.microlink.io/?url=https://coretail.github.io/Homework_1_web/&screenshot=true&meta=false&embed=screenshot.url,
Furnivo,SaaS,"Official platform for Furnivo - Modern & Durable Furniture. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://muhammad-25.github.io/Furnivo_/,https://api.microlink.io/?url=https://muhammad-25.github.io/Furnivo_/&screenshot=true&meta=false&embed=screenshot.url,
DK Creative,SaaS,"Official platform for Welcome Page. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://dhekiakbar.github.io/dk-creatives/intro.html,https://api.microlink.io/?url=https://dhekiakbar.github.io/dk-creatives/intro.html&screenshot=true&meta=false&embed=screenshot.url,
Aroma Candle,Portfolio,"Official platform for Aroma Candle. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://nasywazahrazettira.github.io/aromacandle/,https://api.microlink.io/?url=https://nasywazahrazettira.github.io/aromacandle/&screenshot=true&meta=false&embed=screenshot.url,
Comercial,Portfolio,"Official platform for Comercial. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://ahmad-25-hub.github.io/ClarityLabs4.github.io/comercial.html,https://api.microlink.io/?url=https://ahmad-25-hub.github.io/ClarityLabs4.github.io/comercial.html&screenshot=true&meta=false&embed=screenshot.url,
JOKYY,SaaS,"JOKYY | Jasa joki Mobile Legends profesional, cepat, aman.","[""responsive"", ""creative"", ""colorful""]",https://xrossgiitsu.github.io/JOKYY/,https://api.microlink.io/?url=https://xrossgiitsu.github.io/JOKYY/&screenshot=true&meta=false&embed=screenshot.url,
Midnight Play,Portfolio,"Official platform for Midnight Play. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://rizaaryadwito.github.io/Voucher-Games-Website/,https://api.microlink.io/?url=https://rizaaryadwito.github.io/Voucher-Games-Website/&screenshot=true&meta=false&embed=screenshot.url,
Dapoer Betawi,SaaS,"Official platform for Dapoer Betawi. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://rizkywulan.github.io/HW1/,https://api.microlink.io/?url=https://rizkywulan.github.io/HW1/&screenshot=true&meta=false&embed=screenshot.url,
Quick - E-commerce,E-commerce,"Official platform for Quick - E-commerce. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://khmalz.github.io/quick-ecommerce,https://api.microlink.io/?url=https://khmalz.github.io/quick-ecommerce&screenshot=true&meta=false&embed=screenshot.url,
Fantasy Sword Emporium,SaaS,"Official platform for Fantasy Sword Emporium - Beranda. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://dutasetyawan.github.io/SwordEmporium/,https://api.microlink.io/?url=https://dutasetyawan.github.io/SwordEmporium/&screenshot=true&meta=false&embed=screenshot.url,
ZapatoCare.id,SaaS,"Official platform for ZapatoCare.id. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://reviisma28.github.io/revii-zapatocare/,https://api.microlink.io/?url=https://reviisma28.github.io/revii-zapatocare/&screenshot=true&meta=false&embed=screenshot.url,
CozyKitchen,Portfolio,"Official platform for CozyKitchen. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://saccharin-e.github.io/CozyKitchen/,https://api.microlink.io/?url=https://saccharin-e.github.io/CozyKitchen/&screenshot=true&meta=false&embed=screenshot.url,
Bulan Jajan,SaaS,"Official platform for Bulan Jajan. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://azfa025.github.io/bulan-jajan/,https://api.microlink.io/?url=https://azfa025.github.io/bulan-jajan/&screenshot=true&meta=false&embed=screenshot.url,https://azfa025.github.io/bulan-jajan/img/Logo 1.webp
Warung Nasi Bahagia,SaaS,"Official platform for Warung Nasi Bahagia - Rasa Nusantara di Setiap Mangkok. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://ridwanalfarezi.github.io/warung-nasi-bahagia,https://api.microlink.io/?url=https://ridwanalfarezi.github.io/warung-nasi-bahagia&screenshot=true&meta=false&embed=screenshot.url,
LumiFrame Studio,Portfolio,"LumiFrame Studio  Jasa fotografi profesional untuk wedding, produk, event, dan potret.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://ringanpriyoga.github.io/LumiFrame/,https://api.microlink.io/?url=https://ringanpriyoga.github.io/LumiFrame/&screenshot=true&meta=false&embed=screenshot.url,
AoD - Angel or Devil,SaaS,"Official platform for AoD - Angel or Devil. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://alief4fei.github.io/AoDShoes/,https://api.microlink.io/?url=https://alief4fei.github.io/AoDShoes/&screenshot=true&meta=false&embed=screenshot.url,https://alief4fei.github.io/AoDShoes/assets/Angel or Devil Shoes logo.png
Chronotrans,Portfolio,"Official platform for Chronotrans. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://kaonwry.github.io/ChronoTrans/,https://api.microlink.io/?url=https://kaonwry.github.io/ChronoTrans/&screenshot=true&meta=false&embed=screenshot.url,https://kaonwry.github.io/ChronoTrans/img/icons/logo.png
Claude,Mobile,"The official mobile application for Claude, a next-generation AI assistant by Anthropic. It features a minimalist, conversational interface designed for safe and helpful interactions. Users can brainstorm ideas, analyze long documents, and get coding assistance on the go with a clean, distraction-free UI.","['tech', 'ai', 'clean', 'modern', 'minimal']",https://claude.ai/,https://i.im.ge/2025/12/03/4EWIoT.Claude-iOS-12.png,https://i.im.ge/2025/12/03/4EcgLX.image.png
NGL,Mobile,"A viral social application designed for anonymous Q&A on Instagram. The user interface features a distinctive vibrant gradient aesthetic with bold typography, tailored specifically for Gen Z. It offers a gamified inbox experience that seamlessly integrates with social media stories.","['social', 'colorful', 'gradient', 'mobile', 'viral']",https://ngl.link/,https://i.im.ge/2025/12/03/4EZzMF.NGL-iOS-17.png,https://i.im.ge/2025/12/03/4Egaj6.image.png
Formula 1,Mobile,"The ultimate racing companion featuring live timing, real-time telemetry, and 3D map tracking. Designed with a high-performance dark UI for complex data visualization.","['sport', 'data', 'mobile', 'fast']",https://www.formula1.com/,https://i.im.ge/2025/12/03/4EZD2h.Formula-1-iOS-24.png,https://i.im.ge/2025/12/03/4EZsCX.Formula-1-logo.png
Discord,Mobile,A community communication platform featuring organized voice channels and real-time chat. Uses a sleek dark UI optimized for gaming and social groups.,"['social', 'dark', 'chat', 'mobile', 'community']",https://discord.com/,https://i.im.ge/2025/12/03/4EKNxK.Discord-iOS-22.png,https://i.im.ge/2025/12/03/4EKAP8.discord-logo.jpeg
Bevel,Mobile,"An advanced health tracker focused on longevity and body composition. Features a premium dark UI that visualizes recovery, strain, and sleep metrics with beautiful charts.","['health', 'dark', 'modern', 'data', 'fitness']",https://www.bevel.health/,https://i.im.ge/2025/12/03/4EKxFM.Bevel-iOS-50.png,https://i.im.ge/2025/12/03/4EKCkh.image.png
Brilliant,Mobile,"A gamified learning platform for STEM subjects. Replaces lectures with hands-on, interactive puzzles wrapped in a clean, illustration-heavy interface.","['education', 'clean', 'interactive', 'gamified', 'mobile']",https://brilliant.org/,https://i.im.ge/2025/12/03/4xFRrM.Brilliant-iOS-33.png,https://i.im.ge/2025/12/03/4xFgVh.image.png
WeChat,Mobile,"The ultimate super-app ecosystem combining messaging, social media, and mobile payments. Features a utilitarian interface that integrates chat with millions of lifestyle mini-programs.","['social', 'superapp', 'chat', 'payment', 'mobile']",https://www.wechat.com/,https://i.im.ge/2025/12/03/4xORPG.WeChat-iOS-17.png,https://i.im.ge/2025/12/03/4xO8qL.image.png
Waymo,Mobile,"A futuristic ride-hailing app for fully autonomous vehicles. The interface features a clean, real-time 3D map visualization that builds user trust by showing exactly what the driverless car sees.","['transport', 'tech', 'clean', 'map', 'futuristic']",https://waymo.com/,https://i.im.ge/2025/12/03/4x1woy.Waymo-iOS-25.png,https://i.im.ge/2025/12/03/4x1jWJ.image.png
Zomato,Mobile,"A comprehensive food discovery and delivery platform. Features a vibrant, photo-centric interface that combines online ordering, restaurant menus, and authentic user reviews.","['food', 'delivery', 'red', 'social', 'mobile']",https://www.zomato.com/,https://i.im.ge/2025/12/03/4x2L0M.Waymo-iOS-25.png,https://i.im.ge/2025/12/03/4x2Ilh.image.png
Nextdoor,Mobile,"The essential hyper-local social network for neighborhoods. Connects residents through a private feed for community news, safety alerts, recommendations, and a local marketplace.","['social', 'community', 'local', 'green', 'mobile']",https://nextdoor.com/,https://i.im.ge/2025/12/03/4xSmxz.Nextdoor-iOS-19.png,https://i.im.ge/2025/12/03/4xS08J.image.png